Artist	Times Seen	First Seen	Most Recent Seen	YouTube Channel	Spotify URL	Photo	Book Autograph	Hat Autograph	VIP Count
AJR	1	2025-08-10		@ajr	https://open.spotify.com/artist/6s22t5Y3prQHyaHWUN1R1C				
Alabama Shakes	1	2025-09-19		@alabamashakes	https://open.spotify.com/artist/16GcWuvvybAoaHr0NqT8Eh				
Albert Castiglia	2	2024-12-22	2026-03-07	https://www.youtube.com/channel/UC_34EQBEYypOqrRp7EPJlDQ	https://open.spotify.com/artist/5GYKbmLEAjDCaJ5IWxK3XD	Y			
Albert Cummings	2	2023-10-27	2024-11-08	@acummingsofficial	https://open.spotify.com/artist/1YYXyn4etM5oe9RnJe3Mvg				
Allison Russell	2	2023-12-10	2025-05-03	@allisonrussell	https://open.spotify.com/artist/3JBmecDGXTll46ygrnGTM6		Y	Y	1
Ally Venable Band	4	2021-11-18	2025-05-14	@allyvenableband	https://open.spotify.com/artist/4H5adufzqTl6F1VQbfD8qh	Y	Y	Y	
Allman Betts Band, The	1	2023-12-05		@theallmanbettsband	https://open.spotify.com/artist/7bVESn103RkOzPhvjpuQTT				
Amythyst Kiah	2	2025-05-09	2025-07-21	@AmythystKiah	https://open.spotify.com/artist/1lhaaKpTyXOnjp79M3xYBl				
Ana Popović	4	2022-12-14	2026-01-11	@anapopovicmusic	https://open.spotify.com/artist/5kPUAJihniO5WfEfbOCjLf	Y			
Avett Brothers, The	3	2021-09-23	2023-05-25	@theavettbrothers	https://open.spotify.com/artist/196lKsA13K3keVXMDFK66q				
Barenaked Ladies	1	2025-07-16		@barenakedladies	https://open.spotify.com/artist/0dEvJpkqhrcn64d3oI8v79				
Beck	1	2023-09-10		@beck	https://open.spotify.com/artist/3vbKDsSS70ZX9D2OcvbZmS				
Billy Gibbons	1	2026-02-23		@BillyFGibbonsTV	https://open.spotify.com/artist/69Iibc3uQ7x2vDeZxTwKCw	Y		Y	1
Bonnie Raitt	1	2024-06-01		@thebonnieraitt	https://open.spotify.com/artist/4KDyYWR7IpxZ7xrdYbKrqY				
Brittany Howard	1	2024-02-21		@brittanyhowardofficial	https://open.spotify.com/artist/4XquDVA8pkg5Lx91No1JxB				
Brittney Spencer	2	2022-09-17	2024-09-19	@brittneyspencer	https://open.spotify.com/artist/6YM5gRpMJkP0kUWRcvlHT3				
Buddy Guy	2	2023-06-11	2025-06-21	@BuddyGuysLegendsChicago	https://open.spotify.com/artist/2gCsNOpiBaMNh20jQ5prf0				
Buffalo Nichols	3	2023-02-23	2024-06-21	@buffalonichols	https://open.spotify.com/artist/5dT9JLuBwGNiHJQsY29Qmh				
Bywater Call	1	2025-09-23		@bywatercall	https://open.spotify.com/artist/1bhk3AmtYKQAcDzbDyWG4M		Y		
Carly Harvey	3	2022-12-14	2024-10-17	@CarlyHarveyMusic	https://open.spotify.com/artist/6KdF2N5lZ8dXMeBoqt5lBF				
Christone 'Kingfish' Ingram	7	2021-11-18	2025-09-24	@callmekingfish	https://open.spotify.com/artist/5jMGnqJkgPaiJzwy5bOcYX				
Cowboy Junkies	1	2025-04-09		@cowboyjunkiesmusic	https://open.spotify.com/artist/3CYSRCHfilgR8DSbkCMp5j				
D.K. Harrell	1	2025-08-19		@d.k.harrellbluesband	https://open.spotify.com/artist/33YoCLWWu9T6IdrXxCHsyx				
