Artist	In APS	APS Page	APS Signed	APS Autograph Notes	In RHBS	RHBS Signed
Aaron Frazer	Yes		No		No	
Abraham Alexander	Yes		No		No	
Adele	Yes		No		No	
Adia Victoria	Yes		No		No	
AJR	Yes		No		No	
Alanis Morissette	Yes		No		No	
Alabama Shakes	Yes		No		No	
Albert Castiglia	No				Yes	Yes
Albert Cummings	No				Yes	No
Alex Cuba	Yes		No		No	
Allison Russell	Yes		Yes		No	
Ally Venable	No				Yes	No
Amythyst Kiah	Yes		Yes		No	
Ana Popovic	No				Yes	No
Anders Osborne	Yes		No		No	
Andrea von Kampen	Yes		No		No	
Anne McCue	Yes		No		No	
Anthony Rosano	No				Yes	No
Artur Menezes	Yes		No		No	
Ashley McBryde	Yes		No		No	
Avett Brothers	Yes		No		No	
Barenaked Ladies	Yes		No		No	
Beck	Yes		No		No	
Ben Harper	Yes		No		No	
Bernice	Yes		No		No	
Big Boi	Yes		No		No	
Birds of Chicago	Yes		Yes	Allison Russell signed	No	
Bjork	Yes		No		No	
Blondshell	Yes		No		No	
Bobby Rush	Yes		No		Yes	No
Bonnie Raitt	Yes		No		No	
Brittany Howard	Yes		No		No	
Brittney Spencer	Yes		No		No	
Buffalo Nichols	No				Yes	No
Buddy Guy	No				Yes	No
Bywater Call	Yes		No		No	
Carly Harvey	No				Yes	No
Cat Power	Yes		No		No	
Chad Hollister	Yes		No		No	
Chelsea Cutler	Yes		No		No	
Christone Kingfish Ingram	No				Yes	No
Cowboy Junkies	Yes		No		No	
D.K. Harrell	No				Yes	No
Daniel Donato	No				Yes	No
Danielle Nicole	No				Yes	No
Danielle Ponder	Yes		No		No	
Danny Burns	Yes		No		No	
Dave Hause	Yes		No		No	
David Moore	Yes		No		No	
De La Soul	Yes		No		No	
Devon Allman	No				Yes	No
DJ Jazzy Jeff	Yes		No		No	
Dylan Triplett	No				Yes	No
Elvis Costello	Yes		No		No	
Enter the Haggis	No				Yes	No
Eric Gales	No				Yes	No
Eric Johanson	No				Yes	No
Eric Johnson	No				Yes	No
Experience Hendrix	No				Yes	No
Fastball	Yes		No		No	
Gaelic Storm	Yes		No		No	
Galactic	Yes		No		No	
Gary Clark Jr.	Yes		No		No	
George Clinton	Yes		No		No	
Ghalia Volt	Yes		No		No	
Gigi Perez	Yes		No		No	
Glenn Yoder	No				Yes	No
Greensky Bluegrass	Yes		No		No	
Henri Brown	No				Yes	No
Honeyfunk	No				Yes	No
Hozier	Yes		No		No	
Indigo Girls	Yes		No		No	
J.P. Soars	No				Yes	No
Jackie Venson	Yes		No		No	
Jake Blount	Yes		No		No	
Jake Xerxes Fussell	Yes		No		No	
Jaime Wyatt	Yes		No		No	
Jax Hollow	Yes		No		No	
Jessie Baylin	Yes		No		No	
Jessie's Girl	Yes		No		No	
Jimmy Vivino	No				Yes	No
Jimmie Vaughan	No				Yes	No
JJ Grey	Yes		No		No	
Joan Jett	Yes		No		No	
Joanne Shaw Taylor	No				Yes	No
Joe Bonamassa	Yes		No		No	
John Hiatt	Yes		No		No	
John Mayall	Yes		No		Yes	No
Jon Batiste	Yes		No		No	
Judith Hill	Yes		No		No	
Kara Jackson	Yes		No		No	
Kate Davis	Yes		No		No	
Keb' Mo'	Yes		Yes	Signed as Kevin Moore	Yes	No
Kenny Wayne Shepherd	No				Yes	No
King Solomon Hicks	Yes		No		No	
Kingsley Flood	No				Yes	No
Langhorne Slim	Yes		No		No	
Larkin Poe	Yes		Yes	Both signed	Yes	No
Lindsay Lou	Yes		No		No	
Liz Phair	Yes		No		No	
LL Cool J	Yes		No		No	
Los Lobos	Yes		No		No	
Lucky Chops	Yes		No		No	
Lyle Lovett	Yes		No		No	
Maggie Rose	Yes		No		No	
Mato Nanji	No				Yes	No
Matteo Mancuso	No				Yes	No
Mavis Staples	Yes		No		No	
Megan Lovell	Yes		Yes		Yes	No
Mike Zito	No				Yes	No
Mikaela Davis	Yes		No		No	
Mohini Dey	No				Yes	No
MonoNeon	Yes		No		No	
Morgan Wade	Yes		No		No	
Muireann Bradley	Yes		No		No	
Nas	Yes		No		No	
Nick Lowe	Yes		No		No	
North Mississippi Allstars	Yes		Yes	Luther Dickinson signed	No	
Oh He Dead	No				Yes	No
Oliver Wood	No				Yes	No
Peter Case	Yes		No		No	
Pixies	Yes		No		No	
Pretenders	Yes		No		No	
Queen Latifah	Yes		No		No	
Rebecca Lovell	Yes		Yes		Yes	No
Rebecca Porter	Yes		No		No	
Rhiannon Giddens	Yes		No		No	
Rival Sons	Yes		No		No	
Robert Cray	Yes		No		No	
