Show Date	Artist	Match Type	YT Title
2021-09-23	The Avett Brothers	No match	
2021-09-24	Kingsley Flood	No match	
2021-10-22	Rival Sons	No match	
2021-11-18	"Christone ""Kingfish"" Ingram"	No match	

2022-01-21	Keb' Mo'	No match	
2022-01-28	Lucky Chops	No match	
2022-02-18	Tedeschi Trucks Band	No match	
2022-02-27	Lyle Lovett	No match	
2022-07-16	Daniel Donato	No match	
2022-08-16	Roger Waters	No match	
2022-10-22	ZZ Top	No match	
2022-10-24	Violent Femmes	No match	

2023-06-18	Trombone Shorty & Orleans Avenue	No match	

2024-06-01	Bonnie Raitt	No match	
2024-06-16	Shaw Davis & The Black Ties	No match	
2024-10-14	David Moore	No match	
2024-10-17	Ana Popovic	No match	
2024-11-17	Lindsay Lou	No match	
2024-12-06	Oh He Dead	No match	

2025-06-07	Selwyn Birchwood	No match	
2025-06-15	Sue Foley	No match	
2025-07-24	Trombone Shorty & Orleans Avenue	No match	
2025-08-10	AJR	No match	
2025-10-17	New York's Finest	No match	
2025-12-04	The Wood Brothers	No match	
