Artist	Tier	Songkick	Seated	Bandsintown	Notes
Adia Victoria	Strong	Y	Y	Y	seen + bandcamp
AJR	Strong	Y	Y	Y	seen
Alabama Shakes	Strong	Y	Y	Y	seen
Albert Castiglia	Strong	Y	Y	Y	seen 2x
Albert Cummings	Strong	Y	Y	Y	seen 2x
Alicia Keys	Strong	Y	Y	Y	override: seen once, arena artist worth tracking
Alison Krauss	Lower	Y		Y	country/bluegrass adjacency; keep
Allison Russell	Strong	Y	Y	Y	seen 2x + bandcamp + hat autograph
Ally Venable	Strong	Y	Y	Y	seen 4x (as Ally Venable Band)
Amythyst Kiah	Strong	Y	Y	Y	seen 2x + bandcamp
Ana Popovic	Strong	Y	Y	Y	seen 4x
Angelique Francis	Strong	Y	Y	Y	seen + new_artist_research + 2026 album
Angélique Kidjo	Lower			Y	world music; keep BIT only
Ariel Posen	Medium	Y		Y	new_artist_research; Hamilton Live presale Aug 2026
The Avett Brothers	Strong	Y	Y	Y	seen 3x
Beth Hart	Strong	Y	Y	Y	seen + bandcamp
Bill Murray and His Blood Brothers	Strong	Y	Y	Y	seen (ticket Jun 2026)
Billy Gibbons	Strong	Y	Y	Y	seen + VIP; BIT as Billy F Gibbons
boygenius	Strong	Y	Y	Y	override: indie supergroup worth tracking
Billy Strings	Strong	Y	Y	Y	bandcamp + 3 sources; bluegrass circuit adjacent
Bonnie Raitt	Strong	Y	Y	Y	seen
Brittany Howard	Strong	Y	Y	Y	seen
Buddy Guy	Strong	Y	Y	Y	seen 2x
Buffalo Nichols	Strong	Y	Y	Y	seen 3x + bandcamp
Bywater Call	Strong	Y	Y	Y	seen
Cage the Elephant	Medium	Y		Y	override medium: alt-rock, occasional crossover
Cedric Burnside	Medium	Y		Y	new_artist_research; Hill Country blues
Christone Kingfish Ingram	Strong	Y	Y	Y	seen 7x + bandcamp
D.K. Harrell	Strong	Y	Y	Y	seen
Daniel Donato	Strong	Y	Y	Y	seen 6x + bandcamp
Danielle Nicole	Strong	Y	Y	Y	seen 3x + bandcamp
Danny Burns	Strong	Y	Y	Y	bandcamp
The Devil Makes Three	Strong	Y	Y	Y	seen
Dumpstaphunk	Lower	Y		Y	New Orleans funk; worth tracking
Eddie 9V	Medium	Y		Y	new_artist_research; rising blues-soul
Eric Bibb	Medium	Y		Y	new_artist_research; folk-blues legend
Eric Gales	Strong	Y	Y	Y	seen 3x
Eric Johanson	Strong	Y	Y	Y	seen 2x
Evan Nicole Bell	Lower	Y		Y	local DC artist; keep
GA-20	Medium	Y		Y	new_artist_research; traditional blues
Galactic	Strong	Y	Y	Y	seen
Gary Clark Jr.	Strong	Y	Y	Y	seen
Gov't Mule	Medium	Y		Y	Warren Haynes adjacent; strong genre fit
Greensky Bluegrass	Strong	Y	Y	Y	seen
Haggis X-1	Strong	Y	Y	Y	Enter the Haggis successor project
Heavy Heavy	Strong	Y	Y	Y	seen + book
House of Hamill	Medium	Y		Y	Enter the Haggis successor project
