Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2023-01-14	Oliver Wood		Millennium Stage, Washington, DC, USA	https://www.setlist.fm/setlist/oliver-wood/2023/millennium-stage-washington-dc-2bbda05a.html	https://www.youtube.com/live/4DiQkmO8kGc	Kennedy Center livestream		Full show on Kennedy Center YouTube channel: https://www.youtube.com/live/4DiQkmO8kGc
2023-01-28	Greensky Bluegrass	Daniel Donato	The Anthem, Washington, DC, USA	https://www.setlist.fm/setlist/greensky-bluegrass/2023/the-anthem-washington-dc-53bd2311.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIwrytCDiiIwjYMp9Gu-dBU	Playlist (6 videos)	Daniel Donato's Cosmic Country - Half Moon Night (bootleg) 1/28/2023 | Daniel Donato's Cosmic Country - Dance in the Desert EPIC jam (bootleg) 1/28/2023 | Greensky Bluegrass and Daniel Donato - Ain't Wastin Time No More (bootleg) 1/28/23 | Greensky Bluegrass LIVE - Give a Shhh (bootleg) | Daniel Donato's Cosmic Country - Rollin' Boogie (bootleg) | Daniel Donato's Cosmic Country - Cosmic Country Breakdown (bootleg)	Daniel Donato opened and joined Greensky for an Allman Brothers cover (Ain't Wastin' Time No More) and Give a Shhh. Shot Daniel's full opening set.
2023-02-16	Gaelic Storm		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/gaelic-storm/2023/the-birchmere-alexandria-va-33a73015.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJCuoPi7VNSx0axXv1HGFOu	Playlist (5 videos)	Gaelic Storm - Johnny Tarr / Beidh Aonach Amarach (bootleg) | Gaelic Storm - Scalliwag (bootleg) | Gaelic Storm - Johnny Jump Up (bootleg) | Gaelic Storm - Kiss Me I'm Irish (bootleg) | Gaelic Storm - The Night I Punched Russell Crowe (bootleg)	Pat Murphy did a Snoop Dogg impression during Johnny Tarr. Not even kidding.
2023-02-18	Tedeschi Trucks Band		Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/tedeschi-trucks-band/2023/warner-theatre-washington-dc-33baa451.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLClt2Ci0OsSwfGPrybUt7x	No match		
2023-02-23	Buffalo Nichols		Columbia Art Center, Columbia, MD, USA	https://www.setlist.fm/setlist/buffalo-nichols/2023/columbia-art-center-columbia-md-2ba730e6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL3d6OIv6ko926yd1i6phA_	Playlist (9 videos)	Buffalo Nichols - Life Goes On (bootleg) | Buffalo Nichols - Sick Bed Blues (bootleg) | Buffalo Nichols - Another Man (bootleg) | Buffalo Nichols - Cold, Cold, Cold (bootleg) | Buffalo Nichols - Slow Train (bootleg) | Buffalo Nichols - My Friend the Doctor (bootleg) | Buffalo Nichols - Too Tough to Die (bootleg) | Buffalo Nichols - Black Ivory (bootleg) | Buffalo Nichols - Hard Times (bootleg)	
2023-03-05	Lucky Chops		Union Stage, Washington, DC, USA	https://www.setlist.fm/setlist/lucky-chops/2023/union-stage-washington-dc-376c95b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLL0L4gg9pFhVAP67L-UsQx	No match		
2023-03-07	Enter the Haggis	Cassie & Maggie	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/enter-the-haggis/2023/the-hamilton-live-washington-dc-33a73029.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI9luSrliyaqhUiQz1g1-J2	Playlist (10 videos)	Enter the Haggis @ Hamilton Live (DC) 3/7/23	House of Hamill performed a CSN Helplessly Hoping in the middle of the Enter the Haggis set.
2023-03-09	Larkin Poe	Tall Heights	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/larkin-poe/2023/930-club-washington-dc-bba79f2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITKvXJ5BP8bv4CKMnRkdiG	Playlist (9 videos)	Larkin Poe - Might as Well be Me (Megan Lovell solo only - bootleg) | Larkin Poe - intro only Mad as a Hatter (no song, bootleg) | Larkin Poe - Strike Gold (bootleg) | Larkin Poe - Wanted Woman (bootleg) | Larkin Poe - Bad Boy (bootleg) | Larkin Poe - Ain't Not (bootleg) | Larkin Poe - Tears of Blue to Gold (bootleg) | Larkin Poe - She's a Self-Made Man (bootleg) | Larkin Poe - Holy Ghost Fire (bootleg)	Shot Megan Lovell solo-only clip of Might as Well be Me. Rebecca Lovell did the Mad as a Hatter intro. Shot from the 9:30 Club. This version of Preachin' Blues sustains the channel earnings basically by itself
2023-04-08	Kate Davis		Songbyrd Music House, Washington, DC, USA	https://www.setlist.fm/setlist/kate-davis/2023/songbyrd-music-house-washington-dc-6ba7360a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLY-DcEWxAOKJUfpnxH0OjA	Playlist (31 videos, combined 3-show playlist)	Flo Petite LIVE - In Bloom cover (bootleg) | Kate Davis LIVE - Consequences (bootleg) | Kate Davis LIVE - Fish Bowl (bootleg)	Triple bill at Songbyrd — opener Flo Petite covered Nirvana (In Bloom).
2023-04-24	Sona Jobarteh		The Howard Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/sona-jobarteh/2023/the-howard-theatre-washington-dc-2ba2682a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIzY1sGNTcJKjyY9zhvzFNv	Playlist (5 videos)	Sona Jobarteh LIVE @ Howard Theatre (DC)	
