Show ID	Artist	Supporting Artist	Show Date	Doors Time	Start Time	Venue Name	Venue Address	Venue Event URL	Seat Info / GA	Ticket Access	Ticket Quantity	Face Value (per ticket)	Fees	Total Cost	Purchase Date	Setlist.fm URL	Personal Rating	Status	Food & Bev	Parking	Merch	Artist Interaction	Playlist URL	Notes / Memories
2026-01-11	Ana Popovic		2026-01-11	12:00 PM	1:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Table 100 Row 100 Seat 6	AXS Mobile app	1	$50.00	$15.58	$65.58	2025-08-26	https://www.setlist.fm/setlist/ana-popovi/2026/rams-head-on-stage-annapolis-md-434f67bf.html		attended		$9.45	$0.00	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxh-vqodYy5l2HAY-Cg3je	Dance To The Rhythm Tour; matinee
2026-01-31	Kingsley Flood	Hannah Honeycutt	2026-01-31	7:00 PM	8:00 PM	Jammin' Java	227 Maple Ave E, Vienna, VA 22180	https://www.unionstagepresents.com/jammin-java/shows	GA standing	Opendate	1	$33.67	$0.00	$33.67	2025-09-29	https://www.setlist.fm/setlist/kingsley-flood/2026/jammin-java-vienna-va-2b4bacba.html		attended			https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-9qRYp7ISf4w3k3V5E0on		https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-9qRYp7ISf4w3k3V5E0on	
2026-02-14	Vanessa Collier		2026-02-14	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Table 101 Row 101 Seats 1-4	AXS Mobile app	1	$45.00	$15.06	$60.06	2025-10-28	https://www.setlist.fm/setlist/vanessa-collier/2026/rams-head-on-stage-annapolis-md-734bdaad.html		attended		$9.45	$0.00	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ2CFf3oqeisdJqbfkRiEn	Jennifer and Lary at table; 4-ticket order split evenly
2026-02-19	Mohini Dey		2026-02-19	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/	GA	Ticketmaster app	1	$35.00	$13.70	$48.70	2025-12-20	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html		attended			$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrBfrFMqc2hflHRYxRUeEr	Hat autograph: Mohini Dey.
2026-02-21	Matteo Mancuso		2026-02-21	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://live.thehamiltondc.com/calendar/	GA Gold	See Tickets / mobile barcode	1	$54.11	$0.00	$54.11	2025-12-04	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html		attended		$13.00	$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOY4QvTfNsXWVLCZ2_T4xt	Route96 Tour; promo code SILKROAD
2026-02-23	Billy Gibbons		2026-02-23	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/	VIP	Ticketmaster app	1	$379.00	$71.30	$450.30	2025-11-09	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html		attended			$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJUiDOYiGCbP2dTVU7sEd7h	Birthday; Meet & Greet VIP Experience + standard ticket
2026-03-07	Albert Castiglia		2026-03-07	12:00 PM	1:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Table 101	AXS Mobile app	1	$53.36	$0.00	$53.36	2025-10-28	https://www.setlist.fm/setlist/albert-castiglia/2026/rams-head-on-stage-annapolis-md-b4865a2.html		attended		$9.45	$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL-ciW4iOu0X5M1AcpEsnNm	Matinee; with Lary; ticket bartered with friend
2026-03-11	Sue Foley	Scott Tournet	2026-03-11	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://live.thehamiltondc.com/calendar/	GA Gold	See Tickets / mobile barcode	1	$48.45	$0.00	$48.45	2025-12-11	https://www.setlist.fm/setlist/sue-foley/2026/the-hamilton-live-washington-dc-2b49a0ba.html		attended		$13.00	$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK1QRya3q0fMDdldwavQMOv	Promo code OHBABY
2026-03-18	Taj Farrant		2026-03-18	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/detail/1191729	Table 100 Row 100 Seat 2	AXS Mobile app	1	$75.00	$21.14	$96.14	2025-10-31	https://www.setlist.fm/setlist/taj-farrant/2026/rams-head-on-stage-annapolis-md-5b49e780.html		attended	$5.00	$9.45	$30.00	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITbEz4XzY8rKKsccjbhrNs	M&G add-on available via AXS
2026-03-20	Danielle Nicole	Brody Buster	2026-03-20	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://wl.eventim.us/event/danielle-nicole/672417	GA Gold	See Tickets / mobile barcode	1	$42.52	$0.00	$42.52	2025-12-11	https://www.setlist.fm/setlist/danielle-nicole/2026/the-hamilton-live-washington-dc-33492cc1.html		attended	$7.00	$13.00	$35.00	Both	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL	Arrived just before 6, 12th in line. Walked in with Bob Lubbehusen and Ed Warburton — they saved a seat. She played one song using an all-white right-handed bass with an embedded working neon tube that had been built for Dusty Hill of ZZ Top.
2026-03-21	ZZ Ward	The Jesse Williams Band	2026-03-21	5:15 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/zz-ward/	VIP	Ticketmaster app	1	$199.00	$37.90	$236.90	2025-10-22	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html		attended	$13.00	$0.00	$20.00	Both	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIk2rhlv1Qix5WAIv7VS2sh	VIP merch: last 2 LPs (most recent autographed), poster, lanyard. Hat signed by Jesse Williams (supporting act, not in Musicbrainz).
2026-03-28	Joanne Shaw Taylor		2026-03-28	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/detail/1142669	Table 102 Row 102 Seat 1	AXS Mobile app	1	$85.00	$26.25	$120.75	2025-09-23	https://www.setlist.fm/setlist/joanne-shaw-taylor/2026/rams-head-on-stage-annapolis-md-4b4f67b6.html		attended	$10.00	$9.45	$0.00	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJS_3J_95MsgUrbC8imcUp2	Sold 1 of 2 tickets via AXS resale 3/23/26; $101.75 payout pending. Food off-site: Crystal Thai $40. Photobomb photo w/ Shane Sanders and JST.
2026-03-29	Selwyn Birchwood		2026-03-29	6:00 PM	7:00 PM	Collective Encore	10221 Wincopin Cir, Columbia, MD 21044	https://www.eventbrite.com/e/selwyn-birchwood-tickets-1979167205389	Table 102 Seat 3	Eventbrite app	1	$34.39	$0.00	$34.39	2026-01-11	https://www.setlist.fm/setlist/selwyn-birchwood/2026/the-collective-encore-columbia-md-5376b7d9.html		attended	$24.00	$0.00	$21.00	Both	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIZnMv8L1lmg--gJ4Q37YSt	RHBS signed by Selwyn Birchwood and Regi Oliver; CD & sticker merch
2026-04-11	Jake Xerxes Fussell	Sam Amidon	2026-04-11		7:00 PM	Union Stage	740 Water St SW, Washington, DC 20024		GA standing	Opendate mobile barcode / PDF	1	$25.00	$9.00	$34.00	2026-03-30		upcoming					Order #966081		
2026-04-12	Glen Hansard	Margaret Glaspy	2026-04-12	7:00 PM	8:00 PM	9:30 Club	815 V St NW, Washington, DC 20001	https://www.930.com/e/glen-hansard/	GA standing	Paper ticket (VOU)	1	$49.50	$0.00	$49.50	2026-03-14		upcoming					Don't Settle Tour		
2026-04-19	Tommy Castro & the Painkillers		2026-04-19	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/detail/1288606	Table 103 Row 103 Seat 2	AXS Mobile app	1	$50.00	$15.74	$65.74	2026-01-16		upcoming					Closer To The Bone Tour		
2026-04-20	Ally Venable		2026-04-20	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/detail/1308367	Table 102 Row 102 Seat 4	AXS Mobile app	1	$40.00	$13.36	$53.36	2026-01-27		upcoming							
2026-05-09	Vanessa Collier		2026-05-09	7:00 PM	8:00 PM	Collective Encore	10221 Wincopin Cir, Columbia, MD 21044	https://www.eventbrite.com/e/vanessa-collier-night-two-tickets-1981688704260	Table 105 Seat 2	Eventbrite app	1	$45.40	$0.00	$45.40	2026-02-04		upcoming					Night Two; hometown show; no refunds		
2026-05-14	The Lone Bellow		2026-05-14	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/the-lone-bellow-what-a-time-to-be-alive-tour-2026/	GA	Ticketmaster app	1	$129.50	$25.40	$154.90	2026-02-26		upcoming					Pre-Show Experience VIP package; seating begins 6:30 PM; standard GA ticket $64.55		
2026-05-30	SatchVai Band	Animals as Leaders	2026-05-30	7:30 PM	8:00 PM	Wolf Trap Filene Center	1551 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/show/26filene/053026/	P-ORCHC Row C Seat 117	Paper ticket	1	$90.00	$0.00	$90.00	2026-02-18		upcoming					ORD: 44321206		
2026-05-31	Lyle Lovett		2026-05-31	6:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com	GA Seated	Paper ticket (box office)	1	$125.00	$6.50	$132.00	2026-03-21		upcoming							
2026-06-04	Jackie Venson		2026-06-04		7:30 PM	New Spire Arts	15 W Patrick St, Frederick, MD 21701	https://weinbergcenter.org/shows/jackie-venson/	GA	Print at Home	2	$10.00	$11.50	$31.50	2026-03-29		upcoming					Order # 26-SJ-HBZT (Weinberg Center); Discovery Series		
2026-06-06	Gary Clark Jr.	Christone Kingfish Ingram	2026-06-06	7:00 PM	7:30 PM	Wolf Trap Filene Center	1551 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/show/26filene/060626/	P-ORCHC Row J Seat 104	Paper ticket	1	$120.00	$0.00	$120.00	2026-02-18		upcoming					ORD: 44321206		
2026-06-11	Orianthi		2026-06-11	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Table 101 Row 101 Seat 1	AXS Mobile app	1	$80.00	$21.80	$101.80	2026-03-24		upcoming					Order #2710513 / Ref: 2pnndjtn		
2026-06-12	Greensky Bluegrass		2026-06-12	7:00 PM	8:00 PM	9:30 Club	815 V St NW, Washington, DC 20001	https://www.930.com/e/greensky-bluegrass/	GA standing	Paper ticket (VOU)	1	$45.00	$0.00	$45.00	2026-03-14		upcoming					All Good Now Pre Party		
2026-06-20	Bill Murray and His Blood Brothers	Dave Hill	2026-06-20	6:30 PM	8:00 PM	Warner Theatre	513 13th St NW, Washington, DC 20004	https://www.ticketmaster.com/bill-murray-his-blood-brothers-washington-district-of-columbia-06-20-2026/event/150062621A2F6D1F	ORCH Row C Seat 13	Ticketmaster app	1	$99.50	$19.00	$118.50	2025-03-06		upcoming					Rescheduled from 2025-11-14; Pre-Show M&G SOLD OUT; 1924 Lounge upgrade available		
2026-07-01	Daniel Donato's Cosmic Country	Molly Tuttle	2026-07-01	6:30 PM	7:00 PM	Wolf Trap Filene Center	1551 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/show/26filene/070126/	P-ORCHC Row C Seat 107	Paper ticket	1	$68.00	$0.00	$68.00	2026-02-18		upcoming					ORD: 44321206		
2026-07-05	Sarah McLachlan	Allison Russell	2026-07-05	7:00 PM	7:30 PM	Wolf Trap Filene Center	1551 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/show/26filene/070526/	P-ORCHC Row L Seats 112-113	Paper ticket	2	$180.00	$0.00	$360.00	2026-02-18		upcoming					ORD: 44321296		
2026-07-11	Shovels & Rope		2026-07-11	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/an-evening-with-shovels-rope/	GA	Ticketmaster app	1	$45.00	$13.95	$58.95	2026-03-13		upcoming					An Evening With billing; seating begins 6:30 PM		
2026-07-16	Robert Jon & The Wreck	The Steepwater Band	2026-07-16	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://wl.eventim.us/event/robert-jon-and-the-wreck/681988?afflky=TheHamiltonDC	GA Seated	See Tickets / mobile barcode	1	$43.02	$0.00	$43.02	2026-02-25		upcoming		$13.00		Promo code WRECK26			
