Venue Name	Address	Venue Event Calendar	Parking	Parking Cost	Drive Time	Drive Distance	Metal Detectors	Ticket Platform	Seating	General Notes
The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/calendar/	On site	$0.00	25 min	9.6 mi		Ticketmaster	GA — doors 5pm, seating begins 6:30pm, first come first served	Shows end by 10:00 PM
Hamilton Live	600 14th St NW, Washington, DC 20005	https://live.thehamiltondc.com/calendar/	1325 G St NW, DC 20005 — 24hr lot, validate at Hamilton restaurant	$13.00	30 min	10.9 mi		See Tickets (Eventim USA)	Two GA tiers: standard GA (upper level) and GA Gold (priority front table, lower level)	Line forms inside by 6pm
Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Gott's Court Garage — 25 Calvert St, Annapolis, MD 21401	$9.45	65 min	43 mi		AXS	Table seating	Same building as Rams Head Tavern; doors typically 1 hour before show unless specified
The Barns at Wolf Trap	1635 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/calendar/	On site	$0.00	30 min	10.6 mi	Wands	Ticketmaster	Reserved balcony seating + GA standing floor	
Wolf Trap Filene Center	1551 Trap Rd, Vienna, VA 22182	https://www.wolftrap.org/calendar/	On site — back lot via Rt 7	$0.00	30 min	10.6 mi	Yes	Paper ticket (Wolf Trap box office)	Reserved seating + GA lawn available	Pavilion opens 30 min before show; donor purchaser — no fees; Shows Sun–Thu must end by 11:15 PM; Fri–Sat by midnight
9:30 Club	815 V St NW, Washington, DC 20001	https://www.930.com/#upcoming-shows-container	9th St NW Maury Wills Field		40 min	13.5 mi	Yes	Ticketmaster	GA standing	Doors 7pm; save pages as Webpage Complete
Lincoln Theatre	1215 U St NW, Washington, DC 20009	https://impconcerts.com/#events-listing	9th St NW Maury Wills Field		40 min	13.5 mi	Yes	Ticketmaster	Reserved seating	
The Anthem	901 Wharf St SW, Washington, DC 20024	https://www.theanthemdc.com/calendar/	L'Enfant Promenade or D St SW		25 min	10.3 mi	Yes	Ticketmaster	Reserved balcony seating + GA standing floor	
Collective Encore	10221 Wincopin Cir, Columbia, MD 21044	https://thecollectiveencore.com/calendar-list/calendar/	10201 Little Patuxent Pkwy, Columbia, MD 21044		45 min	35 mi		Eventbrite	Table seating	Shows end by 10:30 PM
New Spire Arts	15 W Patrick St, Frederick, MD 21701	https://weinbergcenter.org/calendar/	2 S Court St, Frederick, MD 21701		50 min	45 mi		Weinberg Center box office	Flexible black box; up to 275 seats	Part of Weinberg Center for the Arts; Discovery Series presents indie/roots/blues acts; downtown Frederick Theatre District
Hub City Vinyl	28 E Baltimore St, Hagerstown, MD 21740	https://liveathubcityvinyl.com/all-events/	On site		90 min	75 mi	Yes	See Tickets (Eventim USA)	GA seated	
The Atlantis	2047 9th St NW, Washington, DC 20001	https://theatlantis.com/	9th St NW Maury Wills Field		40 min	13.5 mi	Wands	Ticketmaster	GA standing	
Merriweather Post Pavilion	10475 Little Patuxent Pkwy, Columbia, MD 21044	https://www.merriweathermusic.com/	11000 Broken Land Pkwy, Columbia, MD 20144		45 min	35 mi	Yes	Ticketmaster	Reserved seating + GA lawn available	
Jiffy Lube Live	7800 Cellar Door Dr, Bristow, VA 20136	https://www.jiffylubelive.com/shows	On site (VIP options)		50 min	35 mi	Yes	Ticketmaster	Reserved seating + GA lawn available	VIP parking add-on available
Capital One Hall	7750 Capital One Tower Rd, Tysons, VA 22102	https://www.capitalonehall.com/events/	1680 Capital One Tower Rd, McLean, VA 22102		20 min	8 mi	Yes	Ticketmaster	Reserved seating	
The Vault at Capital One Hall	7750 Capital One Tower Rd, Tysons, VA 22102	https://www.capitalonehall.com/events/	1680 Capital One Tower Rd, McLean, VA 22102		20 min	8 mi	Yes	Ticketmaster	GA standing or reserved seating depending on act	
