Artist
Adia Victoria
Allison Russell
Ana Popovic
Anders Osborne
Billy Strings
Christone "Kingfish" Ingram
Daniel Donato
Eric Gales
Galactic
JJ Grey & Mofro
Jon Batiste
Kate Davis
Larkin Poe
Marcus King
North Mississippi Allstars
Oh He Dead
Rebirth Brass Band
Rhiannon Giddens
Robert Randolph & The Family Band
Ruthie Foster
Southern Avenue
Susan Tedeschi
Tab Benoit
Tal Wilkenfeld
Tedeschi Trucks Band
The Lone Bellow
The Marcus King Band
The War And Treaty
The Wood Brothers
Trombone Shorty
Valerie June
