Artist	Venue	Date	Event URL
Walter Trout	Rams Head On Stage	Apr 06 - 8:00 PM	https://www.bandsintown.com/e/1037454331-walter-trout-at-rams-head-on-stage
Walter Trout	Jammin Java	Apr 07 - 8:00 PM	https://www.bandsintown.com/e/107816431-walter-trout-at-jammin-java
Angélique Kidjo	The Music Center at Strathmore	Apr 09 - 8:00 PM	https://www.bandsintown.com/e/107451599-angelique-kidjo-at-the-music-center-at-strathmore
The Pietasters	Tally Ho Theater	Apr 10 - 7:00 PM	https://www.bandsintown.com/e/1037675471-the-pietasters-at-tally-ho-theater
BOYS LIKE GIRLS	The Fillmore Silver Spring	Apr 10 - 8:00 PM	https://www.bandsintown.com/e/107538315-boys-like-girls-at-the-fillmore-silver-spring
David Wax Museum	Rams Head On Stage	Apr 10 - 8:00 PM	https://www.bandsintown.com/e/1037970986-david-wax-museum-at-rams-head-on-stage
Jake Xerxes Fussell	Union Stage	Apr 11 - 7:00 PM	https://www.bandsintown.com/e/107876360-jake-xerxes-fussell-at-union-stage
Anders Osborne	RAK Brewing Co	Apr 11 - 7:00 PM	https://www.bandsintown.com/e/107899609-anders-osborne-at-rak-brewing-co
Barns Courtney	Pearl Street Warehouse	Apr 12 - 7:00 PM	https://www.bandsintown.com/e/107796600-barns-courtney-at-pearl-street-warehouse
Snarky Puppy	Warner Theatre	Apr 13 - 8:00 PM	https://www.bandsintown.com/e/1036772790-snarky-puppy-at-warner-theatre
David Wax Museum	David Wax Museum & Lowland Hum present The Golden Hours	Apr 14 - 6:00 PM	https://www.bandsintown.com/e/107837955-david-wax-museum-at-jammin-java
Mark Lettieri Music	Purbayan Chatterjee & Mark Lettieri's Feathered Creatures @ Montgomery College	Apr 15 - 7:00 PM	https://www.bandsintown.com/e/108187845-mark-lettieri-music-at-cultural-arts-center-montgomery-college
Béla Fleck	BEATrio @ Goucher College	Apr 16 - 8:00 PM	https://www.bandsintown.com/e/107532738-bela-fleck-at-goucher-college
Rhiannon Giddens	Baltimore Museum of Industry	Apr 17 - 5:00 PM	https://www.bandsintown.com/e/1037150819-rhiannon-giddens-at-baltimore-museum-of-industry
Anthony D'Amato	Fantastic Cat @ The Hamilton	Apr 17 - 7:00 PM	https://www.bandsintown.com/e/107843199-anthony-d'amato-at-the-hamilton-live
Waxahatchee	The Anthem	Apr 17 - 7:30 PM	https://www.bandsintown.com/e/1037176902-waxahatchee-at-the-anthem
Black Pistol Fire	The Atlantis	Apr 17 - 8:00 PM	https://www.bandsintown.com/e/107644269-black-pistol-fire-at-the-atlantis
The Toasters	Never Early Fest	Apr 18 - 12:00 PM	https://www.bandsintown.com/e/107908159-the-toasters-at-the-recher
Anthony D'Amato	Fantastic Cat @ The 8x10	Apr 18 - 7:00 PM	https://www.bandsintown.com/e/107843206-anthony-d'amato-at-the-8x10
Snail Mail	Snail Mail	Apr 18 - 7:00 PM	https://www.bandsintown.com/e/107828721-snail-mail-at-union-collective
Band of Horses	Everything All The Time Anniversary Tour	Apr 18 - 7:00 PM	https://www.bandsintown.com/e/107791707-band-of-horses-at-nevermore-hall
Florence and The Machine	Capital One Arena	Apr 18 - 7:30 PM	https://www.bandsintown.com/e/1036951140-florence-and-the-machine-at-capital-one-arena
Tommy Castro	Tommy Castro and the Painkillers "Closer To The Bone" Tour at Rams Head On Stage	Apr 19 - 7:00 PM	https://www.bandsintown.com/e/107733516-tommy-castro-at-rams-head-on-stage
Los Lobos	Los Lobos @ The Birchmere	Apr 19 - 7:30 PM	https://www.bandsintown.com/e/1037602696-los-lobos-at-birchmere
The James Hunter Six	The Hamilton Live	Apr 19 - 8:00 PM	https://www.bandsintown.com/e/1038126075-the-james-hunter-six-at-the-hamilton-live
James Hunter	The Hamilton Live	Apr 19 - 8:00 PM	https://www.bandsintown.com/e/1038452306-james-hunter-at-the-hamilton-live
