Action	Artist	Tier	Notes
ADD	Adia Victoria	Strong	
ADD	AJR	Strong	
ADD	Alabama Shakes	Strong	
ADD	Albert Castiglia	Strong	use Albert Castiglia not Albert Castiglia Band
ADD	Albert Cummings	Strong	
ADD	Alicia Keys	Strong	override strong
ADD	Alison Krauss	Lower	
ADD	Allison Russell	Strong	
ADD	Ally Venable	Strong	
ADD	Amythyst Kiah	Strong	
ADD	Ana Popovic	Strong	
ADD	Angelique Francis	Strong	
ADD	Angélique Kidjo	Lower	
ADD	Ariel Posen	Medium	
ADD	The Avett Brothers	Strong	
ADD	Beth Hart	Strong	
ADD	Bill Murray and His Blood Brothers	Strong	
ADD	Billy Gibbons	Strong	already in BIT as Billy F Gibbons
ADD	boygenius	Strong	override strong
ADD	Billy Strings	Strong	
ADD	Bonnie Raitt	Strong	
ADD	Brittany Howard	Strong	
ADD	Buddy Guy	Strong	
ADD	Buffalo Nichols	Strong	
ADD	Bywater Call	Strong	
ADD	Cage the Elephant	Medium	override medium
ADD	Cedric Burnside	Medium	
ADD	Christone Kingfish Ingram	Strong	
ADD	D.K. Harrell	Strong	
ADD	Daniel Donato	Strong	
ADD	Danielle Nicole	Strong	
ADD	Danny Burns	Strong	
ADD	The Devil Makes Three	Strong	
ADD	Dumpstaphunk	Lower	
ADD	Eddie 9V	Medium	
ADD	Eric Bibb	Medium	
ADD	Eric Gales	Strong	
ADD	Eric Johanson	Strong	
ADD	Evan Nicole Bell	Lower	
ADD	GA-20	Medium	
ADD	Galactic	Strong	
ADD	Gary Clark Jr.	Strong	
ADD	Gov't Mule	Medium	
ADD	Greensky Bluegrass	Strong	
ADD	Haggis X-1	Strong	
ADD	Heavy Heavy	Strong	
ADD	House of Hamill	Medium	
ADD	Hozier	Strong	
ADD	Jackie Venson	Strong	
ADD	Jaime Wyatt	Medium	
ADD	Jake Blount	Strong	
ADD	Jake Xerxes Fussell	Strong	
ADD	Jared James Nichols	Medium	
ADD	Jax Hollow	Strong	
ADD	JJ Grey & Mofro	Strong	
ADD	Jimmie Vaughan	Strong	
ADD	Joanne Shaw Taylor	Strong	
ADD	Joe Bonamassa	Strong	
ADD	Jon Batiste	Strong	
ADD	Judith Hill	Strong	
ADD	Kaia Kater	Medium	
ADD	Kate Davis	Strong	
ADD	Keb' Mo'	Strong	
ADD	Kenny Wayne Shepherd	Strong	
ADD	Kingsley Flood	Strong	
ADD	Lake Street Dive	Medium	
ADD	Langhorne Slim	Strong	
ADD	Larkin Poe	Strong	
ADD	Leyla McCalla	Medium	
ADD	The Lone Bellow	Strong	
ADD	Lucinda Williams	Strong	
ADD	Lucy Dacus	Medium	override medium
ADD	Lyle Lovett	Strong	
ADD	Maggie Rose	Strong	
ADD	Marcus King	Strong	
ADD	Mark Knopfler	Strong	override strong
ADD	Matteo Mancuso	Strong	
ADD	Mavis Staples	Strong	
ADD	Mikaela Davis	Strong	
ADD	Mike Zito	Strong	
ADD	Mohini Dey	Strong	
ADD	Molly Tuttle	Lower	
ADD	Muireann Bradley	Strong	
ADD	Nat Myers	Medium	
ADD	North Mississippi Allstars	Strong	
ADD	Oh He Dead	Strong	
ADD	Oliver Wood	Strong	
ADD	Orianthi	Strong	
ADD	P!nk	Medium	override medium
ADD	Peter Gabriel	Strong	override strong
ADD	The Pietasters	Strong	
ADD	Rebirth Brass Band	Lower	
ADD	Rhiannon Giddens	Strong	
ADD	Robert Jon & The Wreck	Strong	
ADD	Robert Randolph	Strong	
ADD	Ruthie Foster	Strong	
ADD	Samantha Fish	Strong	
ADD	Selwyn Birchwood	Strong	
ADD	Shakey Graves	Strong	
ADD	Shaw Davis & The Black Ties	Strong	
ADD	Shawn James	Strong	
ADD	Shemekia Copeland	Strong	
ADD	Shovels & Rope	Strong	
ADD	Sonny Landreth	Strong	
ADD	Southern Avenue	Strong	
ADD	Sparkbird	Strong	
ADD	Steve Vai	Strong	
ADD	Sue Foley	Strong	
ADD	Suzanne Vega	Strong	
